-125	50	905
-120	50	911
-115	50	917
-110	50	923
-105	50	929
-100	50	935
-95	50	941
-90	50	947
-85	50	953
-80	50	959
-75	50	965
-70	50	971
-125	45	904
-120	45	910
-115	45	916
-110	45	922
-105	45	928
-100	45	934
-95	45	940
-90	45	946
-85	45	952
-80	45	958
-75	45	964
-70	45	970
-125	40	903
-120	40	909
-115	40	915
-110	40	921
-105	40	927
-100	40	933
-95	40	939
-90	40	945
-85	40	951
-80	40	957
-75	40	963
-70	40	969
-125	35	902
-120	35	908
-115	35	914
-110	35	920
-105	35	926
-100	35	932
-95	35	938
-90	35	944
-85	35	950
-80	35	956
-75	35	962
-70	35	968
-125	30	901
-120	30	907
-115	30	913
-110	30	919
-105	30	925
-100	30	931
-95	30	937
-90	30	943
-85	30	949
-80	30	955
-75	30	961
-70	30	967
-125	25	900
-120	25	906
-115	25	912
-110	25	918
-105	25	924
-100	25	930
-95	25	936
-90	25	942
-85	25	948
-80	25	954
-75	25	960
-70	25	966
